Text;QR Code Title (for reference)
"Gratulacje odkry³eœ:
Park Chrobrego
Jeœli nie wiesz o co chodzi pobierz aplikacjê SkimSpots.";Park Chrobrego
"Gratulacje odkry³eœ:
Arena Gliwice
Jeœli nie wiesz o co chodzi pobierz aplikacjê SkimSpots.";Arena Gliwice
"Gratulacje odkry³eœ:
DiscGolf w parku Chrobrego
Jeœli nie wiesz o co chodzi pobierz aplikacjê SkimSpots.";DiscGolf w parku Chrobrego
"Gratulacje odkry³eœ:
Spalone auto obok CNT
Jeœli nie wiesz o co chodzi pobierz aplikacjê SkimSpots.";Spalone auto obok CNT
"Gratulacje odkry³eœ:
Górka w parku Chrobrego
Jeœli nie wiesz o co chodzi pobierz aplikacjê SkimSpots.";Górka w parku Chrobrego
"Gratulacje odkry³eœ:
Lew czuwaj¹cy
Jeœli nie wiesz o co chodzi pobierz aplikacjê SkimSpots.";Lew czuwaj¹cy
"Gratulacje odkry³eœ:
Wydzia³ Matematyki Stosowanej POLSL
Jeœli nie wiesz o co chodzi pobierz aplikacjê SkimSpots.";Wydzia³ Matematyki Stosowanej POLSL
"Gratulacje odkry³eœ:
Czo³g T-34
Jeœli nie wiesz o co chodzi pobierz aplikacjê SkimSpots.";Czo³g T-34
"Gratulacje odkry³eœ:
Paj¹k w parku Chrobrego
Jeœli nie wiesz o co chodzi pobierz aplikacjê SkimSpots.";Paj¹k w parku Chrobrego
"Gratulacje odkry³eœ:
Parkingi POLSL
Jeœli nie wiesz o co chodzi pobierz aplikacjê SkimSpots.";Parkingi POLSL
